"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","CNN Architecture and Performance Metrics"
"Deep Learning for Diabetic Retinopathy Detection: A Review of Multimodal Data Fusion Approaches","https://scispace.com/paper/deep-learning-for-diabetic-retinopathy-detection-a-review-of-1bidhjb5msjz","2025","Journal Article","","Kartina Diah Kesuma Wardhani
Shahreen Kasim
Rohayanti Hassan
Rahmat Hidayat
Khaled Mahmud Sujon","10.21203/rs.3.rs-7196434/v1","https://scispace.compdf/deep-learning-for-diabetic-retinopathy-detection-a-review-of-1bidhjb5msjz.pdf","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reviews multimodal deep learning for DR, noting CNNs as the most popular architecture and fundus images as a primary modality, though it lacks specific architecture comparisons.","<title>Abstract</title> Diabetic retinopathy (DR) is a diabetes-induced eye disease that affects the blood vessels of the retina, and a lack of proper DR detection could result in the loss of vision. Although deep learning (DL) has successfully analyzed single-modality medical data, DR diagnosis often requires interpreting diverse information such as retinal imaging and clinical data. Multimodal data fusion has the potential to accommodate robust and complementary information between these sources for more accurate diagnostic decisions. However, DR detection using deep learning-based multimodal fusion is still challenging and underdeveloped. This review investigates recent advances in applying DL techniques to multimodal DR detection , focusing on model architecture, modality combinations, fusion strategies, and performance metrics. Among these architectures, convolutional neural networks (CNNs) are the most popular, and the fusion of fundus images with OCT or 1 EHR data is the most common pairing. Early and joint fusion strategies dominate, while model performance is typically assessed using accuracy, AUC, sensitivity, and F1-score. Despite promising progress, the field still faces challenges including modality heterogeneity, lack of standardized multimodal datasets, and limited model interpretability. Emerging trends point toward hybrid architecture, attention mechanisms, and self-supervised learning as potential solutions. This review highlights current developments and outlines future directions to support the design of scalable, generalizable, and clinically applicable multimodal DL systems for DR detection. ",""
"A Comprehensive Deep‐Learning Framework Integrating Lesion Segmentation and Stage Classification for Enhanced Diabetic Retinopathy Diagnosis","https://scispace.com/paper/a-comprehensive-deep-learning-framework-integrating-lesion-nh5i7j0kxyf6","2025","Journal Article","","Ramazan Incir
Ferhat Bozkurt","10.1002/ima.70272","","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses an Improved U-Net and ViT-CBAM architecture on the APTOS dataset to segment lesions and classify diabetic retinopathy stages; lacks explicit mention of sensitivity, specificity, or AUC metrics.","
 Diabetic retinopathy (DR), one of the most prevalent microvascular complications of diabetes, stands as a leading cause of vision loss globally. Due to its asymptomatic nature in early stages, delayed diagnosis and staging may result in irreversible visual impairment. Therefore, accurate and simultaneous lesion segmentation and stage classification of DR are of critical clinical importance. In this study, a two‐stage, end‐to‐end, holistic framework is proposed for automated DR diagnosis. In the first stage, an Improved U‐Net architecture enhanced with residual blocks and additional convolutional layers is employed to segment small and low‐contrast lesions such as microaneurysms, hemorrhages, and hard/soft exudates with high precision. Model hyperparameters are optimized using the harmony search algorithm to enhance training efficiency. In the second stage, lesion‐based weight maps obtained from the segmentation step are applied to fundus images from the APTOS dataset, generating enriched inputs for classification. A vision transformer (ViT)‐based model, augmented with a Convolutional Block Attention Module (CBAM), is utilized to improve feature extraction. In addition, features derived from ViT are further refined using a graph convolutional network (GCN) and traditional machine‐learning classifiers. The proposed approach achieves high performance in multi‐class DR stage classification. Compared to existing studies, the framework demonstrates notable improvements in both segmentation and classification accuracy, offering a robust and generalizable solution for DR diagnosis.",""
"Deep retino-network for automatic quantification of diabetic retinopathy","https://scispace.com/paper/deep-retino-network-for-automatic-quantification-of-diabetic-4a1ykigxy7","2024","Journal Article","IAES International Journal of Artificial Intelligence","S. A. Jameel
Abdul Rahim Mohamed Shanavas","10.11591/ijai.v13.i3.pp3306-3313","","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a custom deep retino-network (DRN) with convolution and max-pooling layers to classify diabetic retinopathy grades in fundus images from the MESSIDOR database, reporting accuracy metrics.","&lt;p&gt;Diabetic retinopathy (DR) is the ocular manifestation of the systemic disease. Since it is the most prevalent cause of blindness in the world, it demands a significant amount of therapeutic attention. As a result, a precise assessment of the DR condition as well as its evolution is very important for treatment. In this work, an automated quantification of diabetic retinopathy state (AQDRS) using fundus images is proposed. The state of DR is classified into 0 (low) to 3 (high) with the help of a deep retino-network (DRN). Before the classification by DRN, an image down-sampling scheme is employed. A DRN consists of convolution layer and max-pooling layers to extract the deep retina features and fully connected layer (FCL) for AQDRS where feed-forward neural network is employed for the classification. The performance of AQDRS by DRN for grading DR is evaluated using methods to evaluate segmentation and indexing techniques in the field of retinal ophthalmology (MESSIDOR) database. Results show that the AQDRS by DRN can able to extract the relevant discriminative information for grading the fundus image. The average accuracy on normal images in MESSIDOR database is 97.9% and it is 95.3% for DR images.&lt;/p&gt; ",""
"Multi-Cell Multi-Task Convolutional Neural Networks for Diabetic Retinopathy Grading","https://scispace.com/paper/multi-cell-multi-task-convolutional-neural-networks-for-a6qht1nj3q","2018","Proceedings Article","Computer Vision and Pattern Recognition","Kang Zhou
Zaiwang Gu
Wen Liu
Weixin Luo
Jun Cheng
Shenghua Gao
Jiang Liu","","https://scispace.compdf/multi-cell-multi-task-convolutional-neural-networks-for-a6qht1nj3q.pdf","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a Multi-Cell Multi-Task CNN architecture to grade diabetic retinopathy on the Kaggle fundus image dataset. Lacks specific AUC/sensitivity/specificity metrics and direct comparisons between distinct CNN architectures.","Diabetic Retinopathy (DR) is a non-negligible eye disease among patients with Diabetes Mellitus, and automatic retinal image analysis algorithm for the DR screening is in high demand. Considering the resolution of retinal image is very high, where small pathological tissues can be detected only with large resolution image and large local receptive field are required to identify those late stage disease, but directly training a neural network with very deep architecture and high resolution image is both time computational expensive and difficult because of gradient vanishing/exploding problem, we propose a \textbf{Multi-Cell} architecture which gradually increases the depth of deep neural network and the resolution of input image, which both boosts the training time but also improves the classification accuracy. Further, considering the different stages of DR actually progress gradually, which means the labels of different stages are related. To considering the relationships of images with different stages, we propose a \textbf{Multi-Task} learning strategy which predicts the label with both classification and regression. Experimental results on the Kaggle dataset show that our method achieves a Kappa of 0.841 on test set which is the 4-th rank of all state-of-the-arts methods. Further, our Multi-Cell Multi-Task Convolutional Neural Networks (M$^2$CNN) solution is a general framework, which can be readily integrated with many other deep neural network architectures.",""
"Detection of Diabetic Retinopathy (DR) Severity from Fundus Photographs using Conv-ViT","https://scispace.com/paper/detection-of-diabetic-retinopathy-dr-severity-from-fundus-5srstvcjyhg0","2024","Journal Article","","Dheeraj Chintamreddy
Usha Rani Seshasayee","10.1109/apci61480.2024.10616936","","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a hybrid Conv-ViT model to classify diabetic retinopathy severity from fundus photographs, specifically utilizing the APTOS-2019 dataset for training and validation.","In recent years, there has been a significant rise in the global prevalence of diabetes, affecting individuals across all age groups. Among those with longstanding diabetes, a common complication known as Diabetic Retinopathy (DR) poses a substantial risk, leading to vision impairment. DR stands as a major concern due to its widespread impact on individuals with diabetes worldwide. Traditionally, the assessment of DR severity has relied on manual evaluation by ophthalmologists using Fundus photography-based retina images, a process prone to time constraints and inconsistency. This paper proposes an automated approach for categorizing the severity stages of DR, aiming to alleviate the limitations of manual diagnosis. Our methodology employs a hybrid feature extraction technique, integrating Convolutional and Vision Transformer models, to infer the severity of DR from fundus photographs. The experiments are conducted using the publicly available APTOS-2019 blindness detection dataset, facilitating comprehensive evaluation and validation of our proposed method.",""
"Convolutional neural network (cnn) untuk klasifikasi citra penyakit diabetes retinopathy","https://scispace.com/paper/convolutional-neural-network-cnn-untuk-klasifikasi-citra-2espns9z","2022","Journal Article","SKANIKA","M. Refai Muslih
Eko Hari Rachmawanto","10.36080/skanika.v5i2.2945","https://scispace.com/pdf/convolutional-neural-network-cnn-untuk-klasifikasi-citra-2espns9z.pdf","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses CNN to classify 88,000 retinal fundus images from the Kaggle database for diabetic retinopathy detection. Performance metrics and architecture comparisons are mentioned only for cited prior studies.","Diabetic Retinopathy (DR) merupakan suatu komplikasi yang terjadi karena adanya kerusakan pada pembuluh darah retina. DR melalui citra retina mata sudah pernah diteliti menggunakan proses peningkatan kualitas citra maupun teknik filtering. Citra DR, memiliki garis tebal dan tipis pada citra fundus dimana tebal tipisnya digunakan untuk menentukan apakah citra fundus tersebut terkategori sebagai citra DR. Biasanya, teknik filtering diperlukan dalam mempertajam garis pada citra fundus. Pada penelitian ini, optimasi dalam klasifikasi citra retina mata yang terdiagnosa retinopati telah dilakukan menggunakan algoritma Convolutional Neural Network (CNN) dengan tujuan pengenalan pembuluh darah pada retina mata terdiagnosa DR. Urgensi dari penelitian ini yaitu melakukan uji performa CNN dalam proses klasifikasi citra DR pada jumlah data yang cukup besar tanpa menggunakan preprosesing apapun sehingga dapat disimpulkan bahwa CNN saja sudah mampu mengklasfikasi objek dengan baik. Citra berasal dari Kaggle database dengan total 88702 citra yang di sortir menjadi 88000 data. Hasil klasifikasi citra benar yaitu 82445 dengan prosentse 93,68% sedangkan citra salah klasifikasi yaitu 5555 citra dengan prosentase kegagalan yaitu 6,32%.",""
"A Severity Grading Framework for Diabetic Retinopathy Detection using Transfer Learning","https://scispace.com/paper/a-severity-grading-framework-for-diabetic-retinopathy-sc2g43j35y0d","2024","Proceedings Article","","Samia Akhtar
Shabib Aftab
Shagufta Kousar
Ambreen Rehman
Munir Ahmad
Ali Q Saeed","10.1109/dasa63652.2024.10836441","","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses EfficientNetB5 to grade diabetic retinopathy severity in fundus images. Performance metrics are limited to accuracy; no architecture comparison or sensitivity/specificity/AUC metrics are reported.","Diabetic retinopathy is one of the primary reasons of blindness among individuals. It is a threatening visual disorder that affects delicate blood vessels present within the retina. Early identification of this condition is beneficial for preserving vision and managing it effectively. Detecting diabetic retinopathy manually takes great amount of time and is susceptible to errors. This research aims to propose an automated and efficient framework for grading the severity of diabetic retinopathy with higher accuracy using transfer learning techniques. For this purpose, we have used 3 distinct diabetic retinopathy datasets; Messidor-1, Messidor-2 and IDRiD, containing fundus images. Preprocessing techniques including cropping, denoising, CLAHE, and image resizing are applied to each dataset. Data augmentation is used to tackle class imbalance issues in order to avoid biased results. The dataset was split into three subsets for training, validation, and testing, using a split of 70:10:20. Pre-trained model EfficientNetB5 is fine-tuned and hyper-parameters are adjusted. This model is used to train and test each dataset separately. Results show that our model attained test accuracies of 98.43% for Messidor-1, 97.36% for Messidor-2, and 97.67% for the IDRiD dataset. On comparing the best results of this research with previous state of the art techniques, EfficientNetB5 outperformed those existing methods.",""
"Diabetic retinopathy detection and classification using capsule networks","https://scispace.com/paper/diabetic-retinopathy-detection-and-classification-using-kisw9y8k8d","2021","Journal Article","Complex & Intelligent Systems","G. Kalyani
B. Janakiramaiah
A. Karuna
L. V. Narasimha Prasad","10.1007/S40747-021-00318-9","https://scispace.com/pdf/diabetic-retinopathy-detection-and-classification-using-kisw9y8k8d.pdf","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a reformed capsule network with convolutional layers to detect diabetic retinopathy in retinal fundus images from the Messidor dataset. Lacks sensitivity, specificity, AUC, and architecture comparisons.","Nowadays, diabetic retinopathy is a prominent reason for blindness among the people who suffer from diabetes. Early and timely detection of this problem is critical for a good prognosis. An automated system for this purpose contains several phases like identification and classification of lesions in fundus images. Machine learning techniques based on manual extraction of features and automatic extraction of features with convolution neural network have been presented for diabetic retinopathy detection. The recent developments like capsule networks in deep learning and their significant success over traditional machine learning methods for a variety of applications inspired the researchers to apply them for diabetic retinopathy diagnosis. In this paper, a reformed capsule network is developed for the detection and classification of diabetic retinopathy. Using the convolution and primary capsule layer, the features are extracted from the fundus images and then using the class capsule layer and softmax layer the probability that the image belongs to a specific class is estimated. The efficiency of the proposed reformed network is validated concerning four performance measures by considering the Messidor dataset. The constructed capsule network attains an accuracy of 97.98%, 97.65%, 97.65%, and 98.64% on the healthy retina, stage 1, stage 2, and stage 3 fundus images.",""
"A Survey on Deep-Learning-Based Diabetic Retinopathy Classification","https://scispace.com/paper/a-survey-on-deep-learning-based-diabetic-retinopathy-2ss57ifh","2023","Journal Article","Diagnostics","Anil Sebastian
Omar Elharrouss
Somaya Al-Maadeed
Noor Almaadeed","10.3390/diagnostics13030345","https://scispace.com/pdf/a-survey-on-deep-learning-based-diabetic-retinopathy-2ss57ifh.pdf","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Surveys deep learning and CNN-based methods for diabetic retinopathy detection using retinal fundus images. Lists commonly used datasets, though lacks explicit discussion of specific performance metrics or architecture comparisons.","The number of people who suffer from diabetes in the world has been considerably increasing recently. It affects people of all ages. People who have had diabetes for a long time are affected by a condition called Diabetic Retinopathy (DR), which damages the eyes. Automatic detection using new technologies for early detection can help avoid complications such as the loss of vision. Currently, with the development of Artificial Intelligence (AI) techniques, especially Deep Learning (DL), DL-based methods are widely preferred for developing DR detection systems. For this purpose, this study surveyed the existing literature on diabetic retinopathy diagnoses from fundus images using deep learning and provides a brief description of the current DL techniques that are used by researchers in this field. After that, this study lists some of the commonly used datasets. This is followed by a performance comparison of these reviewed methods with respect to some commonly used metrics in computer vision tasks.",""
"Robust Classification Model for Diabetic Retinopathy Based on the Contrastive Learning Method with a Convolutional Neural Network","https://scispace.com/paper/robust-classification-model-for-diabetic-retinopathy-based-3dz9fg9x","2022","Journal Article","Applied Sciences","Xinxing Feng
Shuai Zhang
Long Xu
Xin Huang
Yanyan Chen","10.3390/app122312071","https://scispace.com/pdf/robust-classification-model-for-diabetic-retinopathy-based-3dz9fg9x.pdf","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ResNet-18 with supervised contrastive learning to classify diabetic retinopathy from fundus images. Mentions multiple public datasets (Kaggle, IDRiD, DDR, FGADR, Messidor) but lacks sensitivity, specificity, or AUC metrics.","Diabetic retinopathy is one of the most common microvascular complications of diabetes. Early detection and treatment can effectively reduce the risk. Hence, a robust computer-aided diagnosis model is important. Based on the labeled fundus images, we build a binary classification model based on ResNet-18 and transfer learning and, more importantly, improve the robustness of the model through supervised contrastive learning. The model is tested with different learning rates and data augmentation methods. The standard deviations of the multiple test results decrease from 4.11 to 0.15 for different learning rates and from 1.53 to 0.18 for different data augmentation methods. In addition, the supervised contrastive learning method also improves the average accuracy of the model, which increases from 80.7% to 86.5%.",""
"Deep CNN Architecture for Automated Identification and Severity Grading Of Diabetic Retinopathy","https://scispace.com/paper/deep-cnn-architecture-for-automated-identification-and-6yseemlvttt8","2025","Repository","","","10.5281/zenodo.15680947","","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a custom CNN architecture to classify retinal fundus images into five DR stages. Mentions sensitivity and a vast annotated dataset, but lacks specific AUC/specificity values or comparisons.","Diabetic Retinopathy (DR) is among the most prevalent microvascular diabetic complications and amajor cause of avoidable blindness in the world. Early identification and correct grading of DR are critical forthe initiation of prompt treatment and prevention of vision loss. Nonetheless, expert ophthalmologist-dependent retinal fundus image manual evaluation is time-consuming, prone to subjectivity, and highlyreliant on skilled ophthalmologists. In order to deal with these issues, in this research, an automated, deeplearning approach and Convolutional Neural Networks (CNN) is suggested for detecting the severity ofDiabetic Retinopathy using retinal fundus images. The CNN architecture classifies these retinal scan imagesinto five clinically accepted stages: NO DR, Mild Stage DR, Moderate Stage DR, Severe Stage DR, andProliferative Stage DR. The architecture includes several convolutional layers followed by BatchNormalizationh,aRrdeLU Aectxiuvadtaiotens,, and Msoaftx Pooleinxugdoapteesr,ationsantod extracthierarchical features of retinal abnormalities. nAeFouvlalysccuolanrnizeacttieodn.layer approach is used toavoid overfitting and improve generalization. The last softmax layer gives probabilistic classification output.The model is learned and being tested on a vast annotated dataset of retinal images with high classificationaccuracy and sensitivity for all DR grades. Experimental results have proven that the suggested CNN modelefficiently detects the DR stages with great reliability. The system provides a scalable and non-invasivemethod to aid ophthalmologists in early screening and diagnosis, thus facilitating better treatment,particularly for resource-poor areas ",""
"A Novel Approach for Detection of Optic Disc and Lesion Location for Screening Diabetic Retinopathy","https://scispace.com/paper/a-novel-approach-for-detection-of-optic-disc-and-lesion-56npl48yph","2021","Journal Article","International Journal of Healthcare Information Systems and Informatics","Aakanksha Mahajan
Vasudha Vashisht
Rohit Bansal","10.4018/IJHISI.20211001.OA20","https://scispace.com/pdf/a-novel-approach-for-detection-of-optic-disc-and-lesion-56npl48yph.pdf","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses k-nearest neighbour filters to detect exudates in retinal fundus images. Mentions CNNs and performance metrics in the literature review, but does not apply them to the proposed model.","Diabetic retinopathy is not typically perceivable in diabetic patients at the initial stage. Their first signs, like micro-aneurysms, often go unnoticed in preliminary testing by specialists. Additionally, its presence is difficult to detect as there are other pathologies that may also lead to induce similar signs and symptoms. Until the detection of the presence of exudates, a specialist cannot simply deduce the presence of diabetic retinopathy. This paper presents a method to assist in the identification and differentiation of exudates on colour retinal images based on a variety of k-nearest neighbour filters. The proposed method proved to be a rational approach to detect bright lesions with sufficient certainty, yielding a possible injury with a specificity of 99%. KeywORDS Circular Hough Transform (CHT), Diabetic Retinopathy (DR), Exudates, K-Nearest Neighbour (KNN), Retinal",""
"EyeWeS: Weakly Supervised Pre-Trained Convolutional Neural Networks for Diabetic Retinopathy Detection","https://scispace.com/paper/eyewes-weakly-supervised-pre-trained-convolutional-neural-i4k1a1qx0e","2019","Proceedings Article","International Conference on Machine Vision","Pedro Alves Costa
Teresa Araújo
Guilherme Aresta
Adrian Galdran
Ana Maria Mendonça
Asim Smailagic
Aurélio Campilho","10.23919/MVA.2019.8757991","https://scispace.com/pdf/eyewes-weakly-supervised-pre-trained-convolutional-neural-i4k1a1qx0e.pdf","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses EyeWeS to convert pre-trained CNNs for weakly-supervised diabetic retinopathy detection in fundus images. Reports AUC metrics and mentions cross-dataset experiments without detailing specific dataset names.","Diabetic Retinopathy (DR) is one of the leading causes of preventable blindness in the developed world. With the increasing number of diabetic patients there is a growing need of an automated system for DR detection. We propose Eye WeS, a method that not only detects DR in eye fundus images but also pinpoints the regions of the image that contain lesions, while being trained with image labels only. We show that it is possible to convert any pre-trained convolutional neural network into a weakly-supervised model while increasing their performance and efficiency. EyeWeS improved the results of Inception V3 from 94.9% Area Under the Receiver Operating Curve (AUC) to 95.8% AUC while maintaining only approximately 5% of the Inception V3's number of parameters. The same model is able to achieve 97.1% AUC in a cross-dataset experiment.",""
"Diabetic Retinopathy Disease Classification Using Retina Images: A Review","https://scispace.com/paper/diabetic-retinopathy-disease-classification-using-retina-2xjxasdl","2022","Journal Article","International Journal For Science Technology And Engineering","Syed Efath Hamid Andrab
Ankur Gupta","10.22214/ijraset.2022.42432","https://scispace.com/pdf/diabetic-retinopathy-disease-classification-using-retina-2xjxasdl.pdf","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reviews deep learning and CNN approaches for diabetic retinopathy detection using retinal fundus images and discusses available datasets, though it lacks specific performance metrics or architecture comparisons.","Abstract: Diabetic Retinopathy (DR) is a frequent consequence of diabetes mellitus that results in vision-impairing lesions on the retina. It can cause blindness if it is not caught early. Unfortunately, DR is not a curable condition, and therapy simply keeps vision from deteriorating. Early identification and treatment of DR can lower the risk of vision loss greatly. Unlike computeraided diagnostic procedures, the physical diagnosis of DR visual fundus pictures by ophthalmologists is time-, effort-, and costintensive, as well as prone to misdiagnosis. Deep learning has recently been one of the most popular strategies for improving experience in a range of fields, particularly medical image analysis and classifications. In medical image analysis, convolutional neural networks are becoming increasingly extensively employed as a deep learning approach, and they are quite successful. The latest state-of-the-art approaches for detecting and classifying DR colour fundus pictures using deep learning techniques have been examined and analysed for this paper. In addition, the colour fundus retina datasets accessible on DR have been examined. Different difficult subjects that need further examination are also mentioned. Keywords: Deep learning, Retina images, Retinopathy, Diabetes",""
"Automatic screening of fundus images using a combination of convolutional neural network and hand-crafted features","https://scispace.com/paper/automatic-screening-of-fundus-images-using-a-combination-of-59p9990ebm","2019","Proceedings Article","International Conference of the IEEE Engineering in Medicine and Biology Society","Balazs Harangi
János Tóth
Agnes Baran
Andras Hajdu","10.1109/EMBC.2019.8857073","","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses an ensemble of CNNs and hand-crafted features to classify fundus images for DR and DME, validated on the ISBI 2018 and IDRiD datasets.","Diabetic retinopathy (DR) and especially diabetic macular edema (DME) are common causes of vision loss as complications of diabetes. In this work, we consider an ensemble that organizes a convolutional neural network (CNN) and traditional hand-crafted features into a single architecture for retinal image classification. This approach allows the joint training of a CNN and the fine-tuning of the weights of handcrafted features to provide a final prediction. Our solution is dedicated to the automatic classification of fundus images according to the severity level of DR and DME. For an objective evaluation of our approach, we have tested its performance on the official test datasets of the IEEE International Symposium on Biomedical Imaging (ISBI) 2018 Challenge 2: Diabetic Retinopathy Segmentation and Grading Challenge, section B. Disease Grading: Classification of fundus images according to the severity level of diabetic retinopathy and diabetic macular edema. As for our experimental results based on testing on the Indian Diabetic Retinopathy Image Dataset (IDRiD), the classification accuracies have been found to be 90.07% for the 5-class DR challenge, and 96.85% for the 3-class DME one.",""
"Performance of ResNet‐18 and InceptionResNetV2 in Automated Detection of Diabetic Retinopathy","https://scispace.com/paper/performance-of-resnet-18-and-inceptionresnetv2-in-automated-zz17jyx8qdn4","2025","Journal Article","","","10.1002/med4.70023","","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ResNet-18 and InceptionResNetV2 to detect diabetic retinopathy in retinal fundus images. Lacks explicit mention of performance metrics or specific datasets in the provided abstract.","Diabetic retinopathy (DR) is a leading cause of blindness worldwide, particularly in diabetic individuals. Manual detection of DR by ophthalmologists is time‐consuming and resource‐intensive, making early automated detection essential for mitigating the risk of vision impairment. This study evaluates the effectiveness of two deep learning models, ResNet‐18 and InceptionResNetV2, for detecting and classifying DR from retinal fundus images, with the aim of identifying the most suitable model for clinical application.",""
"Deep learning-powered segmentation and classification of diabetic retinopathy for enhanced diagnostic precision","https://scispace.com/paper/deep-learning-powered-segmentation-and-classification-of-1qb4xremz7b7","2024","Journal Article","Deleted Journal","M. Harisha
Arya Arun Bhosale
M. Narender","10.36922/aih.2783","","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses CNNs and U-Net for diabetic retinopathy detection on fundus images. Mentions the APTOS 2019 dataset but lacks specific sensitivity/specificity/AUC metrics and detailed comparative analysis of architectures.","This study addresses the critical challenge of diabetic retinopathy (DR), a severe complication of diabetes that potentially leads to blindness. We introduce a novel approach to DR detection using transfer learning, leveraging a single fundus photograph to automatically identify the disease&amp;rsquo;s stage. DR progresses through four stages, posing challenges for early detection, with existing methods often inefficient and prone to disagreements among clinicians. The proposed approach demonstrated in the APTOS 2019 Blindness Detection Competition employs convolutional neural networks (CNNs) and achieved a high quadratic weighted kappa score of 0.92546, highlighting its effectiveness in automatic DR detection and emphasizing the need for timely intervention. This paper first reviews related work, spanning classical computer vision methods to deep learning approaches, with a focus on CNNs. Transfer learning with CNN architectures is explored, showcasing promising results from various studies. Identifying two critical gaps in existing literature, the research emphasizes the need for comprehensive exploration into integrating pre-trained large language models (LLMs) with segmented image inputs for generating test/treatment recommendations. In addition, understanding the dynamic interactions among integrated components, including lesion segmentations, disease classification, and LLMs within web applications, remains essential. The objectives of the study include developing a comprehensive DR detection methodology, exploring and implementing model integration, evaluating performance through competition ranking, contributing significantly to DR detection methodologies, and identifying research gaps. The study encompasses revolutionizing DR detection by integrating cutting-edge technologies, focusing on transfer learning and various model integrations within web applications. The methodology covers data pre-processing, augmentation, segmentation using U-Net neural network architecture, and a detailed training process. The U-Net model demonstrates efficient segmentation of retinal structures with high accuracy and an impressive frames-per-second rate. The results highlight the model&amp;rsquo;s effectiveness in segmenting blood vessels, hard exudates, soft exudates, hemorrhages, microaneurysms, and the optical disc, with high Jaccard, F1, recall, precision, and accuracy scores. These findings underscore the model&amp;rsquo;s potential to enhance diagnostic capabilities in retinal pathology assessment, promising improved patient outcomes through timely diagnosis and intervention in combating DR. ",""
"Deep image mining for diabetic retinopathy screening.","https://scispace.com/paper/28511066","2017","Journal Article","Medical image analysis","Quellec
Charrière
Boudi
Cochener
Lamard","10.1016/j.media.2017.04.012","","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a generalized backpropagation method for ConvNets to generate heatmaps for diabetic retinopathy detection, validated on the Kaggle competition dataset and the private e-ophtha dataset.","Deep learning is quickly becoming the leading methodology for medical image analysis. Given a large medical archive, where each image is associated with a diagnosis, efficient pathology detectors or classifiers can be trained with virtually no expert knowledge about the target pathologies. However, deep learning algorithms, including the popular ConvNets, are black boxes: little is known about the local patterns analyzed by ConvNets to make a decision at the image level. A solution is proposed in this paper to create heatmaps showing which pixels in images play a role in the image-level predictions. In other words, a ConvNet trained for image-level classification can be used to detect lesions as well. A generalization of the backpropagation method is proposed in order to train ConvNets that produce high-quality heatmaps. The proposed solution is applied to diabetic retinopathy (DR) screening in a dataset of almost 90,000 fundus photographs from the 2015 Kaggle Diabetic Retinopathy competition and a private dataset of almost 110,000 photographs (e-ophtha). For the task of detecting referable DR, very good detection performance was achieved: A",""
"AI-Driven Diabetic Retinopathy Screening: Multicentric Validation of
  AIDRSS in India","https://scispace.com/paper/ai-driven-diabetic-retinopathy-screening-multicentric-5gy440mt6gp6","2025","Journal Article","","Amit Kr Dey
Pradeep Walia
Girish Somvanshi
Abrar Ali
Sagarnil Das
Pallabi Paul
Manashi Ghosh","10.48550/arxiv.2501.05826","https://scispace.compdf/ai-driven-diabetic-retinopathy-screening-multicentric-5gy440mt6gp6.pdf","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a deep learning algorithm with 50 million parameters and CLAHE preprocessing to analyze 10,058 retinal fundus images for DR detection. Performance metrics lack AUC; dataset details are limited.","Purpose: Diabetic retinopathy (DR) is a major cause of vision loss, particularly in India, where access to retina specialists is limited in rural areas. This study aims to evaluate the Artificial Intelligence-based Diabetic Retinopathy Screening System (AIDRSS) for DR detection and prevalence assessment, addressing the growing need for scalable, automated screening solutions in resource-limited settings. Approach: A multicentric, cross-sectional study was conducted in Kolkata, India, involving 5,029 participants and 10,058 macula-centric retinal fundus images. The AIDRSS employed a deep learning algorithm with 50 million trainable parameters, integrated with Contrast Limited Adaptive Histogram Equalization (CLAHE) preprocessing for enhanced image quality. DR was graded using the International Clinical Diabetic Retinopathy (ICDR) Scale, categorizing disease into five stages (DR0 to DR4). Statistical metrics including sensitivity, specificity, and prevalence rates were evaluated against expert retina specialist assessments. Results: The prevalence of DR in the general population was 13.7%, rising to 38.2% among individuals with elevated random blood glucose levels. The AIDRSS achieved an overall sensitivity of 92%, specificity of 88%, and 100% sensitivity for detecting referable DR (DR3 and DR4). These results demonstrate the system's robust performance in accurately identifying and grading DR in a diverse population. Conclusions: AIDRSS provides a reliable, scalable solution for early DR detection in resource-constrained environments. Its integration of advanced AI techniques ensures high diagnostic accuracy, with potential to significantly reduce the burden of diabetes-related vision loss in underserved regions. ",""
