"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Weight Loss Outcomes","Cardiovascular Outcomes","Adverse Events"
"Efficacy and safety of once-weekly semaglutide versus once-daily insulin glargine as add-on to metformin (with or without sulfonylureas) in insulin-naive patients with type 2 diabetes (SUSTAIN 4): a randomised, open-label, parallel-group, multicentre, multinational, phase 3a trial","https://scispace.com/paper/efficacy-and-safety-of-once-weekly-semaglutide-versus-once-5bd9rj60qg","2017","Journal Article","The Lancet Diabetes & Endocrinology","Vanita R. Aroda
Stephen C. Bain
Bertrand Cariou
Milivoj Piletic
Ludger Rose
Mads Axelsen
Everton Rowe
J. Hans DeVries","10.1016/S2213-8587(17)30085-2","https://cronfa.swan.ac.uk/Record/cronfa31639/Download/0031639-18012017083234.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Shows semaglutide leads to 3.5‑5.2 kg weight loss and ≥5% body‑weight reduction in a phase‑3 trial versus insulin glargine.","","","",""
"Coadministered Cagrilintide and Semaglutide in Adults with Overweight or Obesity","https://scispace.com/paper/coadministered-cagrilintide-and-semaglutide-in-adults-with-cggir5udwewq","2025","Journal Article","The New England Journal of Medicine","W. Timothy Garvey
Matthias Blüher
Cristina Contreras
Melanie J. Davies
Eva Winning Lehmann
Kirsi H. Pietiläinen
Domenica Rubino
Paolo Sbraccia
Thomas A. Wadden
Niels Zeuthen
John Wilding","10.1056/nejmoa2502081","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reports a phase 3a trial where semaglutide (alone and combined) achieved up to 20.4% mean body-weight loss, meeting semaglutide, weight loss, trial, and percent reduction criteria.","Semaglutide at a dose of 2.4 mg has established weight-loss and cardiovascular benefits, and cagrilintide at a dose of 2.4 mg has shown promising results in early-phase trials; the efficacy of the combination (known as CagriSema) on weight loss in persons with either overweight and coexisting conditions or obesity is unknown. In a phase 3a, 68-week, multicenter, double-blind, placebo-controlled and active-controlled trial, we enrolled adults without diabetes who had a body-mass index (BMI; the weight in kilograms divided by the square of the height in meters) of 30 or higher or a BMI of 27 or higher with at least one obesity-related complication. Participants were randomly assigned in a ratio of 21:3:3:7 to receive the combination of semaglutide at a dose of 2.4 mg and cagrilintide at a dose of 2.4 mg, semaglutide alone at a dose of 2.4 mg, cagrilintide alone at a dose of 2.4 mg, or placebo, plus lifestyle interventions for all groups. The coprimary end points were the relative change in body weight and a reduction of 5% or more in body weight from baseline to week 68 with cagrilintide-semaglutide as compared with placebo. Body-weight reductions of 20% or more, 25% or more, and 30% or more were assessed as confirmatory secondary end points. Effect estimates were assessed with the treatment-policy estimand (consistent with the intention-to-treat principle). Safety was assessed. A total of 3417 participants underwent randomization, with 2108 assigned to receive cagrilintide-semaglutide, 302 to receive semaglutide, 302 to receive cagrilintide, and 705 to receive placebo. The estimated mean percent change in body weight from baseline to week 68 was -20.4% with cagrilintide-semaglutide as compared with -3.0% with placebo (estimated difference, -17.3 percentage points; 95% confidence interval, -18.1 to -16.6; P<0.001). Participants receiving cagrilintide-semaglutide were more likely than those receiving placebo to reach weight-loss targets of 5% or more, 20% or more, 25% or more, and 30% or more (P<0.001 for all comparisons). Gastrointestinal adverse events (affecting 79.6% in the cagrilintide-semaglutide group and 39.9% in the placebo group), including nausea, vomiting, diarrhea, constipation, or abdominal pain, were mainly transient and mild-to-moderate in severity. Cagrilintide-semaglutide provided significant and clinically relevant body-weight reductions in adults with overweight or obesity, as compared with placebo. (Funded by Novo Nordisk; REDEFINE 1 ClinicalTrials.gov number, NCT05567796.). ","","",""
"Emerging Role of GLP-1 Agonists in Obesity: A Comprehensive Review of Randomised Controlled Trials","https://scispace.com/paper/emerging-role-of-glp-1-agonists-in-obesity-a-comprehensive-3ccy71iw","2023","Journal Article","International Journal of Molecular Sciences","Mihaela Popoviciu
Lorena Păduraru
Galal Yahya
Kamel Metwally
Simona Cavalu","10.3390/ijms241310449","https://scispace.com/pdf/emerging-role-of-glp-1-agonists-in-obesity-a-comprehensive-3ccy71iw.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reports semaglutide’s 16.1% mean body‑weight reduction in the STEP‑TEENS trial, detailing BMI loss and ≥5% weight‑loss rates.","Obesity is a chronic disease with high prevalence and associated comorbidities, making it a growing global concern. These comorbidities include type 2 diabetes, hypertension, ventilatory dysfunction, arthrosis, venous and lymphatic circulation diseases, depression, and others, which have a negative impact on health and increase morbidity and mortality. GLP-1 agonists, used to treat type 2 diabetes, have been shown to be effective in promoting weight loss in preclinical and clinical studies. This review summarizes numerous studies conducted on the main drugs in the GLP-1 agonists class, outlining the maximum achievable weight loss. Our aim is to emphasize the active role and main outcomes of GLP-1 agonists in promoting weight loss, as well as in improving hyperglycemia, insulin sensitivity, blood pressure, cardio–metabolic, and renal protection. We highlight the pleiotropic effects of these medications, along with their indications, contraindications, and precautions for both diabetic and non-diabetic patients, based on long-term follow-up studies.","","",""
"Contemporary Classification of Glucagon-Like Peptide 1 Receptor Agonists (GLP1RAs).","https://scispace.com/paper/contemporary-classification-of-glucagon-like-peptide-1-spq4y11gbj","2021","Journal Article","Diabetes Therapy","Sanjay Kalra
Saptarshi Bhattacharya
Nitin Kapoor","10.1007/S13300-021-01113-Y","https://scispace.com/pdf/contemporary-classification-of-glucagon-like-peptide-1-spq4y11gbj.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reports semaglutide’s STEP trials achieving up to 14.9% body weight loss and detailed % reductions (5%, 10%, 15%) in obese patients.","This communication provides a contemporary classification of glucagon-like peptide 1 receptor agonists (GLP1RAs) based on indication, route, and frequency of administration, which could support a person-centric approach to treatment choice. It includes all recently developed GLP1RAs as well as those in advanced stages of clinical study. Keeping pace with current trends in pharmacology and metabolic medicine, it attempts to bring clarity and simplicity to a complex spread of information.","","",""
"Oral Semaglutide at a Dose of 25 mg in Adults with Overweight or Obesity","https://scispace.com/paper/oral-semaglutide-at-a-dose-of-25-mg-in-adults-with-wjysojfpmg6g","2025","Journal Article","The New England Journal of Medicine","Sean Wharton
Ildiko Lingvay
Paweł Bogdański
Ruben Vale
Stephan Jacob
Therese Karlsson
Chaithra Shaji
Domenica Rubino
W. Timothy Garvey","10.1056/nejmoa2500969","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reports 13.6% mean weight loss with 25 mg oral semaglutide in a 71‑week RCT, meeting semaglutide, weight‑loss, trial, and percent‑reduction criteria.","Oral semaglutide at a dose of 25 mg may provide an alternative treatment option to injectable semaglutide (2.4 mg) and higher-dose oral semaglutide (50 mg) for persons with overweight or obesity. In a 71-week, double-blind, randomized, placebo-controlled trial conducted at 22 sites in four countries, we enrolled persons without diabetes who had a body-mass index (BMI; the weight in kilograms divided by the square of the height in meters) of 30 or higher or a BMI of 27 or higher with at least one obesity-related complication. The participants were randomly assigned in a 2:1 ratio to receive oral semaglutide (25 mg) or placebo once daily, plus lifestyle interventions. The coprimary end points at week 64 were the percent change in body weight and a reduction of 5% or more in body weight; confirmatory secondary end points included reductions in body weight of 10% or more, 15% or more, and 20% or more and the change in the Impact of Weight on Quality of Life-Lite Clinical Trials Version (IWQOL-Lite-CT) Physical Function score. A total of 205 participants were randomly assigned to receive oral semaglutide, and 102 to receive placebo. The estimated mean change in body weight from baseline to week 64 was -13.6% in the oral semaglutide group and -2.2% in the placebo group (estimated difference, -11.4 percentage points; 95% confidence interval, -13.9 to -9.0; P<0.001). Participants in the oral semaglutide group were significantly more likely than those in the placebo group to have body-weight reductions of 5% or more, 10% or more, 15% or more, and 20% or more (P<0.001 for all comparisons) and to have an improved IWQOL-Lite-CT Physical Function score (P<0.001). Gastrointestinal adverse events were more common with oral semaglutide than with placebo (74.0% vs. 42.2%). Oral semaglutide at a dose of 25 mg once daily resulted in a greater mean reduction in body weight than placebo in participants with overweight or obesity. (Funded by Novo Nordisk; OASIS 4 ClinicalTrials.gov number, NCT05564117.). ","","",""
"Cagrilintide–Semaglutide in Adults with Overweight or Obesity and Type 2 Diabetes","https://scispace.com/paper/cagrilintide-semaglutide-in-adults-with-overweight-or-9q1tukcc0ske","2025","Journal Article","The New England Journal of Medicine","Melanie J. Davies
Harpreet S. Bajaj
Christa Broholm
Astrid Eliasen
W. Timothy Garvey
Carel W. le Roux
Ildiko Lingvay
Christian Bøge Lyndgaard
Julio Rosenstock
Sue D. Pedersen","10.1056/nejmoa2502082","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reports a phase 3a trial where once‑weekly cagrilintide‑semaglutide yields a 13.7% mean weight loss versus 3.4% placebo, meeting primary weight‑loss endpoints.","Cagrilintide and semaglutide have each been shown to induce weight loss as monotherapies. Data are needed on the coadministration of cagrilintide and semaglutide (called CagriSema) for weight management in adults with type 2 diabetes, including those in a subgroup who are undergoing continuous glucose monitoring. In this phase 3a, double-blind, randomized, placebo-controlled trial conducted in 12 countries, we assigned adults with a body-mass index of 27 or more, a glycated hemoglobin level of 7 to 10%, and type 2 diabetes in a 3:1 ratio to receive once-weekly cagrilintide-semaglutide (2.4 mg each) or placebo, along with lifestyle intervention, for 68 weeks. The two primary end points were the percent change in body weight and the percentage of patients with a weight reduction of at least 5%. Additional end points were changes in glycemic measures and safety assessments. Effect estimates were calculated with the use of the treatment-policy estimand (consistent with the intention-to-treat principle). A total of 1206 patients underwent randomization to either the cagrilintide-semaglutide group (904 patients) or the placebo group (302 patients). The estimated mean change in body weight from baseline to week 68 was -13.7% in the cagrilintide-semaglutide group and -3.4% in the placebo group (estimated difference, -10.4 percentage points; 95% confidence interval, -11.2 to -9.5; P<0.001). More patients in the cagrilintide-semaglutide group than in the placebo group had a weight reduction of 5% or more (P<0.001); the same was true of reductions of at least 10%, 15%, and 20% (P<0.001 for the last comparison). The percentage of patients who had a glycated hemoglobin level of 6.5% or less was 73.5% in the cagrilintide-semaglutide group and 15.9% in the placebo group. Gastrointestinal adverse events were reported by 72.5% of the patients in the cagrilintide-semaglutide group and 34.4% in the placebo group, most of which were transient and mild or moderate in severity. Once-weekly cagrilintide-semaglutide (at a dose of 2.4 mg each) resulted in a significantly lower body weight than placebo in adults with obesity and type 2 diabetes. (Funded by Novo Nordisk; REDEFINE 2 ClinicalTrials.gov number, NCT05394519.). ","","",""
"Oral Semaglutide in an East Asian Population With Overweight or Obesity, With or Without Type 2 Diabetes","https://scispace.com/paper/oral-semaglutide-in-an-east-asian-population-with-overweight-7vj36duv4rup","2025","Journal Article","JAMA Internal Medicine","Takashi Kadowaki
Line Dam Heftdal
Hae‐Jin Ko
Maria Overvad
Iichiro Shimomura
Usha K. Thamattoor
Kyoung Kon Kim
H Kunishige
Jun Okude
Naoki Sato
Satoshi Takeda
Koji Uemura
Takeshi Osonoi
Shigeo Isshiki
Naoaki Ito
Hitoshi Naito
Norihiko Oka
Mitsuru Hosoya
Miyoko Saito
H Takizawa
Hiroshi Asano
Shinichiro Shirabe
Taro Asakura
Mizuki Kaneshiro
Hitoshi Matsuura
Akeo Ohira
Saburo Nakano
Yasumichi Mori
Kimio Matsumura
Kaoru Nagasawa
Takashi Kadowaki
Takayasu Uchida
Shota Kikuno
Yuya Suzuki
Shizuka Kaneko
Haruhiko Onaka
Y Ueba
Yoshiyuki Onda
Tomoko Minami
Tomoaki Osugi
Shinsuke Tokumoto
KAZUYA MOTOHASHI
Mutsumi Okada
Nozomu Machida
Shun Kizawa
Hitoshi Nishizawa
Norikazu Maeda
Iichiro Shimomura
Yuya Fujishima
Shiro Fukuda
Hirotaka Nagashima
Yoshimasa Horie
Takako Ohyama
Kazuki Yoshida
Asaji Yamamoto
Akiko Kishi
K Soeda
Hayato Fujita
Aki Tsuji
Yuichi Takahashi
Satoshi Inoue
Michio Yagi
Yasuko Owada
Shigeto Kanada
Hidetoshi Furuie
Yasuhiko Suga
Takuya Inomoto
Daiki Yamaguchi
Kayo Yoshida
Kenichi Yamahara
Masataka Nanto
Sumiko Kobayashi
Yuko Soma
Osamu Matsuoka
Makoto Kawai
Mie Kawai
Miki Ito
Izumi Yamaguchi
Hideki Matsuda
Sachiko Otake
Eunju Sung
In Young Cho
H.E. Yoon
HyunJun Kang
Kyoung Kon Kim
Hae‐Jin Ko
Hee-Eun Hong
Ju Young Kim
Hye Yeon Koo
S.-H. Lee
Eun-byul Cho
Moohi Yoo","10.1001/jamainternmed.2025.3599","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reports oral semaglutide achieving ~14% mean body weight loss in a double‑blind East Asian trial, with explicit percentage reduction data.","Importance The efficacy and safety of oral semaglutide, 50 mg, in an East Asian population that also includes individuals with type 2 diabetes (T2D), who are prone to weight-related complications at lower body mass index (BMI; calculated as weight in kilograms divided by height in meters squared) thresholds than other ethnic groups, is currently unknown. Objective To assess the efficacy and safety of once-daily oral semaglutide, 50 mg, for the treatment of overweight and obesity in East Asian individuals with or without T2D. Design, Setting, and Participants The OASIS 2 trial was a 68-week (plus 7 weeks of follow-up) multicenter, double-blind, placebo-controlled phase 3a randomized clinical trial conducted from November 2021 to September 2023 in Japan and South Korea. Adults with a BMI of 27.0 or greater with 2 or more related complications or a BMI of 35.0 or greater with 1 or more related complications were enrolled. Approximately 25% of participants were planned to have T2D at screening. Data were analyzed from March 2022 to July 2025. Interventions Participants were assigned 2:1 to once-daily oral semaglutide, 50 mg, or placebo, plus lifestyle recommendations, for 68 weeks. Main Outcomes and Measures The coprimary end points were percentage change in body weight from baseline and the proportion of participants who achieved 5% or greater body weight reductions. Changes in physical function, cardiometabolic risk factors, and safety were also evaluated. Results Overall, 201 participants (mean [SD] age, 49 [11] years; mean [SD] body weight, 91.9 [18.2] kg; 87 [43.3%] female; 51 [25.4%] with T2D) were randomized to semaglutide (n = 134) or placebo (n = 67). The mean (SEM) percentage change in body weight was −14.3% (0.8) with semaglutide vs −1.3% (1.1) with placebo (estimated treatment difference, −13.07 percentage points; 95% CI, −15.61 to −10.52; P &amp;amp;lt; .001). More participants had 5% or greater body weight reductions with semaglutide vs placebo (107 of 127 [84.3%] vs 11 of 64 [17.2%]; odds ratio, 23.00; 95% CI, 10.28-51.42; P &amp;amp;lt; .001). Gastrointestinal tract adverse events were reported by 85 of 134 participants (63.4%) with semaglutide and 23 of 66 with placebo (34.8%). Adverse events led to treatment discontinuation in 6 of 134 participants (4.5%) in the semaglutide arm. Conclusions and Relevance In this randomized clinical trial, among East Asian adults with overweight or obesity, with or without T2D, oral semaglutide, 50 mg, led to a superior and clinically meaningful reduction in body weight compared with placebo, with a safety profile consistent with the glucagon-like peptide-1 receptor agonist class. Trial Registration ClinicalTrials.gov Identifier: NCT05132088 ","","",""
"Efficacy and safety of once‐weekly subcutaneous semaglutide on weight loss in patients with overweight or obesity without diabetes mellitus—A systematic review and meta‐analysis of randomized controlled trials","https://scispace.com/paper/efficacy-and-safety-of-once-weekly-subcutaneous-semaglutide-37yh7eq32s","2024","Journal Article","Obesity Reviews","Sharath Kommu
Richard L. Berg","10.1111/obr.13792","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Analyzes semaglutide’s effect, showing −11.49% body weight reduction and safety via meta‑analysis of RCTs.","Summary Semaglutide is found to be efficient for weight loss in patients with overweight or obesity with diabetes mellitus (DM). With a wide range of adverse events reported, the efficacy and safety of once‐weekly subcutaneous semaglutide in individuals without DM, with overweight or obesity, is unclear. We conducted a comprehensive meta‐analysis of randomized studies on once‐weekly semaglutide in this patient population. We identified nine studies with 11,641 patients in the semaglutide group and 10,479 in the placebo group. We observed that semaglutide resulted in significant benefits, including change in body weight (%): mean difference (MD) of −11.49% ( p &lt; 0.0001), change in absolute body weight: MD of −11.74 kg ( p &lt; 0.0001), and change in waist circumference: MD of −9.06 cm ( p &lt; 0.0001). Gastrointestinal side effects are predominant including nausea: odds ratio (OR) of 4.06 ( p &lt; 0.0001), vomiting: OR of 4.43 ( p &lt; 0.0001), diarrhea: OR of 2.10 ( p &lt; 0.0001), constipation: OR of 2.43 ( p &lt; 0.0001), gallbladder disorders: OR of 1.26 ( p = 0.010), and cholelithiasis: OR of 2.06 ( p = 0.04). Serious adverse events were not statistically significant: OR of 1.06 ( p = 0.82). However, the percentage of participants discontinuing due to adverse events and gastrointestinal side effects was statistically significant: ORs of 2.22 ( p &lt; 0.0001) and 3.77 ( p &lt; 0.0001), respectively. This study shows that in patients with overweight or obesity without DM, once‐weekly subcutaneous semaglutide can significantly decrease body weight without risk of serious adverse events when compared with a placebo. However, gastrointestinal side effects are predominant with semaglutide, which can result in medication discontinuation. ","","",""
"Efficacy and Safety of Subcutaneous and Oral Semaglutide Administration in Patients With Type 2 Diabetes: A Meta-Analysis","https://scispace.com/paper/efficacy-and-safety-of-subcutaneous-and-oral-semaglutide-ngq5w6tgs6","2021","Journal Article","Frontiers in Pharmacology","Ping Zhong
Hai Zeng
Miaochun Huang
Guoxin He
Zhixia Chen","10.3389/FPHAR.2021.695182","https://scispace.com/pdf/efficacy-and-safety-of-subcutaneous-and-oral-semaglutide-ngq5w6tgs6.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Analyzes semaglutide’s effects on weight loss, reporting absolute and percent body‑weight reductions from phase‑3 RCTs.","Background: This meta-analysis aimed to combine the data available from clinical trials to assess the effects of subcutaneous and oral semaglutide administration on glycemic control, weight management, and safety outcomes in patients with type 2 diabetes (T2D).

Methods: We systematically searched for phase 3 randomized controlled trials (RCTs) that compared semaglutide with placebo or other anti-diabetic drugs in T2D patients. The primary outcome was the change from baseline in glycated hemoglobin (HbA1c) levels. Secondary efficacy endpoints included the change from baseline in body weight, achievement of HbA1c targets, and clinically significant weight loss. Key safety outcomes were also assessed.

Results: In this meta-analysis, 24 trials with a total of 22185 patients were included. Subcutaneous semaglutide administration reduced HbA1c levels (weighted mean difference [WMD]: −1.14% and −1.37%, for 0.5 mg and 1 mg, respectively) and body weight (WMD: −2.73 kg and −4.09 kg, for 0.5 mg and 1 mg, respectively) when compared with placebo; its efficacy was also superior to other anti-diabetic drugs in reducing HbA1c levels (WMD: −0.71% and −0.86%, for 0.5 mg and 1 mg, respectively) and body weight (WMD: −2.65 kg and −3.78 kg, for 0.5 mg and 1 mg, respectively). Oral semaglutide administration was superior to placebo in decreasing HbA1c levels (WMD: −0.96% and −1.02%, for 7 mg and 14 mg, respectively). Moreover, oral administration of 14 mg of semaglutide also showed a significant reduction in HbA1c levels (WMD: −0.36%) compared with other anti-diabetic drugs. Furthermore, oral semaglutide administration resulted in substantial weight loss compared with other anti-diabetic drugs (WMD: −1.53 kg and −1.73 kg, for 7 mg and 14 mg, respectively). Notably, subcutaneous and oral semaglutide administration also resulted in higher numbers of patients achieving the targets of HbA1c levels and weight loss than placebo and other anti-diabetic drugs. Overall, we noted no clear evidence of detrimental effects on safety endpoints due to semaglutide treatment, except for some gastrointestinal adverse events.

Conclusion: Both subcutaneous and oral semaglutide administration could enable the achievement of sufficient glycemic control and weight management without increasing the risk of hypoglycemia, which were effective and safe for the treatment of T2D.","","",""
"Cardiovascular Safety and Superiority of Anti-Obesity Medications.","https://scispace.com/paper/cardiovascular-safety-and-superiority-of-anti-obesity-kz9aty403h","2021","Journal Article","Diabetes, Metabolic Syndrome and Obesity: Targets and Therapy","Muath Alobaida
Abdullah Alrumayh
Ayodipupo Oguntade
Faez Al-Amodi
Mwango Bwalya","10.2147/DMSO.S311359","https://scispace.com/pdf/cardiovascular-safety-and-superiority-of-anti-obesity-kz9aty403h.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reports semaglutide’s 11.2–13.8% weight loss in phase‑2 trial and discusses related clinical trial data.","Over the past few decades, several anti-obesity medications have demonstrated an association with adverse cardiovascular outcomes, leading to their market withdrawal. This has caused researchers to investigate the cardiovascular safety of such medications in cardiovascular outcome trials. However, the data from these trials are limited, and their outcomes are not promising. Therefore, the aim of this review is to provide an overview of the current and past Food and Drug Administration-approved medications for weight loss, including novel diabetes medications (glucagon-like peptide 1 receptor agonists and sodium-glucose co-transporter-2 inhibitors) and non-diabetes medications, and to highlight the current designs of cardiovascular outcome trials and their importance in the evaluation of the overall safety concerns associated with these anti-obesity medications. The limitations of the trials and opportunities for improvement were also evaluated. Finally, we also briefly describe cardiovascular safety and risks in this review.","","",""
"Effect of Continued Weekly Subcutaneous Semaglutide vs Placebo on Weight Loss Maintenance in Adults With Overweight or Obesity: The STEP 4 Randomized Clinical Trial","https://scispace.com/paper/effect-of-continued-weekly-subcutaneous-semaglutide-vs-2fc86aadip","2021","Journal Article","JAMA","Domenica Rubino
Niclas Abrahamsson
Melanie J. Davies
Melanie J. Davies
Dan Hesse
Frank L. Greenway
Camilla B. Jensen
Ildiko Lingvay
Ofri Mosenzon
Julio Rosenstock
Miguel A. Rubio
Gottfried Rudofsky
Sayeh Tadayon
Thomas A. Wadden
Dror Dicker
Step Investigators","10.1001/JAMA.2021.3224","https://scispace.com/pdf/effect-of-continued-weekly-subcutaneous-semaglutide-vs-2fc86aadip.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Continues semaglutide to maintain weight loss, achieving a -7.9% vs +6.9% body weight change; a randomized clinical trial reporting percent weight reduction.","Importance The effect of continuing vs withdrawing treatment with semaglutide, a glucagon-like peptide 1 receptor agonist, on weight loss maintenance in people with overweight or obesity is unknown. Objective To compare continued once-weekly treatment with subcutaneous semaglutide, 2.4 mg, with switch to placebo for weight maintenance (both with lifestyle intervention) in adults with overweight or obesity after a 20-week run-in with subcutaneous semaglutide titrated to 2.4 mg weekly. Design, setting, and participants Randomized, double-blind, 68-week phase 3a withdrawal study conducted at 73 sites in 10 countries from June 2018 to March 2020 in adults with body mass index of at least 30 (or ≥27 with ≥1 weight-related comorbidity) and without diabetes. Interventions A total of 902 participants received once-weekly subcutaneous semaglutide during run-in. After 20 weeks (16 weeks of dose escalation; 4 weeks of maintenance dose), 803 participants (89.0%) who reached the 2.4-mg/wk semaglutide maintenance dose were randomized (2:1) to 48 weeks of continued subcutaneous semaglutide (n = 535) or switched to placebo (n = 268), plus lifestyle intervention in both groups. Main outcomes and measures The primary end point was percent change in body weight from week 20 to week 68; confirmatory secondary end points were changes in waist circumference, systolic blood pressure, and physical functioning (assessed using the Short Form 36 Version 2 Health Survey, Acute Version [SF-36]). Results Among 803 study participants who completed the 20-week run-in period (with a mean weight loss of 10.6%) and were randomized (mean age, 46 [SD, 12] years; 634 [79%] women; mean body weight, 107.2 kg [SD, 22.7 kg]), 787 participants (98.0%) completed the trial and 741 (92.3%) completed treatment. With continued semaglutide, mean body weight change from week 20 to week 68 was -7.9% vs +6.9% with the switch to placebo (difference, -14.8 [95% CI, -16.0 to -13.5] percentage points; P Conclusions and relevance Among adults with overweight or obesity who completed a 20-week run-in period with subcutaneous semaglutide, 2.4 mg once weekly, maintaining treatment with semaglutide compared with switching to placebo resulted in continued weight loss over the following 48 weeks. Trial registration ClinicalTrials.gov Identifier: NCT03548987.","","",""
"Oral semaglutide for weight loss and liver fibrosis in overweight and obesity: A randomized controlled trial","https://scispace.com/paper/oral-semaglutide-for-weight-loss-and-liver-fibrosis-in-nq6u2aa6q1i5","2025","Journal Article","Indian Journal of Gastroenterology","Anudeep Katrevula
Rakesh Kalapala
Siddhant Agrawal
Nitin Jagtap
Anand V. Kulkarni
Chandhana Merugu
Goutham Reddy Katukuri
Nageshwar Reddy Duvvur
Anudeep Katrevula
Rakesh Kalapala
Siddhant Agrawal
Nitin Jagtap
Anand V. Kulkarni
Chandhana Merugu
Goutham Reddy Katukuri
Nageshwar Reddy Duvvur
Anudeep Katrevula
Rakesh Kalapala
Siddhant Agrawal
Nitin Jagtap
Anand V. Kulkarni
Chandhana Merugu
Goutham Reddy Katukuri
Nageshwar Reddy Duvvur","10.1007/s12664-025-01856-7","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Evaluates oral semaglutide in a randomized trial achieving ≥5% body weight loss, addressing weight loss and liver fibrosis.","","","",""
"Report from the CVOT Summit 2021: new cardiovascular, renal, and glycemic outcomes","https://scispace.com/paper/report-from-the-cvot-summit-2021-new-cardiovascular-renal-2vqprjrg","2022","Journal Article","Cardiovascular Diabetology","Oliver Schnell
Tadej Battelino
Richard M. Bergenstal
Matthias Blüher
Michael Böhm
Frank C. Brosius
Richard D. Carr
Antonio Ceriello
Thomas Forst
Francesco Giorgino
Bruno Guerci
Hiddo J.L. Heerspink
B Itzhak
Li Jin
Mikhail Kosiborod
Nebojsa Lalic
Michael Lehrke
Nikolaus Marx
Michael A. Nauck
Helena W. Rodbard
Giuseppe M.C. Rosano
Peter Rossing
Lars Rydén
Francesca Santilli
P.-M. Schumm-Draeger
Per Olav Vandvik
Tina Vilsbøll
Christoph Wanner
Carol Wysham
Eberhard Standl","10.1186/s12933-022-01481-0","https://scispace.com/pdf/report-from-the-cvot-summit-2021-new-cardiovascular-renal-2vqprjrg.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses semaglutide in STEP trials, reporting 14.9% weight loss and other percent reductions from clinical trial data.","The 7th Cardiovascular Outcome Trial (CVOT) Summit on Cardiovascular, Renal, and Glycemic Outcomes, was held virtually on November 18-19, 2021. Pursuing the tradition of the previous summits, this reference congress served as a platform for in-depth discussion and exchange on recently completed CVOTs. This year's focus was placed on the outcomes of EMPEROR-Preserved, FIGARO-DKD, AMPLITUDE-O, SURPASS 1-5, and STEP 1-5. Trial implications for diabetes and obesity management and the impact on new treatment algorithms were highlighted for endocrinologists, diabetologists, cardiologists, nephrologists, and general practitioners. Discussions evolved from outcome trials using SGLT2 inhibitors as therapy for heart failure, to CVOTs with nonsteroidal mineralocorticoid receptor antagonists and GLP-1 receptor agonists. Furthermore, trials for glycemic and overweight/obesity management, challenges in diabetes management in COVID-19, and novel guidelines and treatment strategies were discussed.Trial registration The 8th Cardiovascular Outcome Trial Summit will be held virtually on November 10-11, 2022 ( http://www.cvot.org ). ","","",""
