"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Weight Loss Outcomes","Cardiovascular Outcomes","Adverse Events"
"Gastrointestinal Peptides as Therapeutic Targets to Mitigate Obesity and Metabolic Syndrome.","https://scispace.com/paper/gastrointestinal-peptides-as-therapeutic-targets-to-mitigate-2rf4ys2ocs","2020","Journal Article","Current Diabetes Reports","Kleopatra Alexiadou
Tricia Tan","10.1007/S11892-020-01309-9","https://scispace.com/pdf/gastrointestinal-peptides-as-therapeutic-targets-to-mitigate-2rf4ys2ocs.pdf","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide’s effects and adverse events, citing LEADER cardiovascular trial; does not mention SCALE trial.","Obesity affects over than 600 million adults worldwide resulting in multi-organ complications and major socioeconomic impact. The purpose of this review is to summarise the physiological effects as well as the therapeutic implications of the gut hormones glucagon-like peptide-1 (GLP-1), oxyntomodulin, peptide YY (PYY), and glucose-dependent insulinotropic peptide (GIP) in the treatment of obesity and type 2 diabetes. Clinical trials have proven that the widely used GLP-1 analogues have pleotropic effects beyond those on weight and glucose metabolism and appear to confer favourable cardiovascular and renal outcomes. However, GLP-1 analogues alone do not deliver sufficient efficacy for the treatment of obesity, being limited by their dose-dependent gastrointestinal side effects. Novel dual agonists for GLP-1/glucagon and GLP-1/GIP are being developed by the pharmaceutical industry and have demonstrated some promising results for weight loss and improvement in glycaemia over and above GLP-1 analogues. Triagonists (for example GLP-1/GIP/glucagon) are currently in pre-clinical or early clinical development. Gastrointestinal hormones possess complementary effects on appetite, energy expenditure, and glucose metabolism. We highlight the idea that combinations of these hormones may represent the way forward in obesity and diabetes therapeutics.","Liraglutide (1.2-1.6% HbA1c reduction) conferred 2-3 kg weight loss in type 2 diabetes. For obesity, 3 mg liraglutide once daily resulted in a mean reduction of 8.4 ± 7.3 kg (vs. 2.8 ± 6.5 kg for placebo) over 56 weeks in the SCALE trial. A phase 2 trial showed 11.2% weight loss with 3 mg/day liraglutide.","Liraglutide demonstrated favorable cardiovascular outcomes in the LEADER trial. It reduced major adverse cardiovascular events (MACE) by 13%, cardiovascular death by 22%, nonfatal myocardial infarction by 12%, and nonfatal stroke by 11%. Additionally, it reduced hospital admission for heart failure by 13%. Specific hazard ratios and confidence intervals are not reported for these individual outcomes.","In a phase 2 trial, semaglutide (at 0.4 mg/day) showed enhanced efficacy but at the expense of adverse events, mainly nausea, diarrhea, constipation, and vomiting. 15% of subjects on the highest dose discontinued due to at least one adverse event, compared to 9% for liraglutide and 3% for placebo. GLP-1 analogues, including liraglutide, can cause gastrointestinal side effects at higher doses, limiting weight loss magnitude."
"Safety of Liraglutide in Type 2 Diabetes and Chronic Kidney Disease.","https://scispace.com/paper/32132141","2020","Journal Article","Clinical journal of the American Society of Nephrology : CJASN","Mann
Fonseca
Poulter
Raz
Idorn
Rasmussen
von Scholten
Mosenzon","10.2215/CJN.11881019","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7133133/pdf","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide's cardiovascular benefits in the LEADER trial for type 2 diabetes with CKD, covering safety and outcomes.","The glucagon-like peptide-1 receptor agonist liraglutide demonstrated cardiovascular and kidney benefits in the LEADER trial, particularly in participants with CKD.","No weight loss data reported.","Liraglutide demonstrated cardiovascular benefits in the LEADER trial, particularly in participants with CKD. The paper mentions ""Liraglutide and cardiovascular outcomes in type 2 diabetes"" and ""Effects of liraglutide versus placebo on cardiovascular events in patients with type 2 diabetes Mellitus and chronic kidney disease."" Specific numerical values for MACE, cardiovascular death, myocardial infarction, stroke, heart failure outcomes, or hazard ratios with confidence intervals are not detailed in the abstract.","Not available in metadata."
"Clinical potential of liraglutide in cardiovascular risk reduction in patients with type 2 diabetes: evidence to date","https://scispace.com/paper/clinical-potential-of-liraglutide-in-cardiovascular-risk-1e86h52lhr","2019","Journal Article","Diabetes, Metabolic Syndrome and Obesity: Targets and Therapy","Rebecca Howell
Adrienne M Wright
Jennifer N. Clements","10.2147/DMSO.S174568","https://scispace.com/pdf/clinical-potential-of-liraglutide-in-cardiovascular-risk-1e86h52lhr.pdf","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide’s cardiovascular outcomes (LEADER trial) and weight‑loss benefits, detailing trial results and associated event reductions.","Metformin is the first-line therapy for the management of type 2 diabetes. After 3 months of metformin, add-on therapy can be considered if an individual's glycemic control has not been achieved for hemoglobin A1c, fasting blood glucose levels, and postprandial blood glucose levels. Liraglutide is a potential second-line option for the management of type 2 diabetes mellitus, particularly for those who are or may be at a high risk of cardiovascular disease. It can also be used an add-on therapy for those individuals with established cardiovascular disease. Liraglutide has additional benefits, such as no to minimal risk of hypoglycemia and promotion of weight loss through its mechanism of action. This particular article summarizes evidence on cardiovascular biomarkers and surrogate endpoints, along with macrovascular events, with liraglutide therapy. Overall, liraglutide has extensive cardiovascular evidence based on which it could be used as a desirable agent for glycemic control while lowering the risk of cardiovascular death, nonfatal myocardial infarction, nonfatal stroke, and hospitalization from heart failure.","Liraglutide demonstrated weight reduction in several studies. The LEAD trials yielded positive clinical results for weight reduction. In a study on patients after an acute coronary event, liraglutide 0.9 mg subcutaneously once daily resulted in a reduction in body weight (P=0.003) and body mass index (P=0.005) by week 24. Another study showed statistically significant decreases in weight (P=0.03) with liraglutide 1.2 mg once daily. Specific percentages for weight loss or proportions of patients achieving ≥5%, ≥10%, ≥15% weight loss are not reported.","Liraglutide reduced the primary composite outcome of cardiovascular death, nonfatal myocardial infarction, or nonfatal stroke by 13% (HR 0.78–0.99, P<0.01). It reduced cardiovascular death by 15% (HR 0.85, 95% CI 0.74–0.97, P=0.02) and myocardial infarction by 14% (P=0.046). Hospitalization for heart failure was reduced by 16% in microvascular events (P=0.003).","Liraglutide trials reported gastrointestinal upset, injection site reactions, and hypoglycemia. Common GI complaints (nausea, vomiting, diarrhea, dyspepsia, decreased appetite) often resolved after 2-3 months. Discontinuation due to adverse events was 4.3% with liraglutide vs 0.5% with placebo. Serious adverse events included more injection site reactions (P=0.002) and acute gallstone disease (P<0.001) with liraglutide. Neoplasms were higher but not statistically significant."
"Series: Cardiovascular outcome trials for diabetes drugs Liraglutide and LEADER","https://scispace.com/paper/series-cardiovascular-outcome-trials-for-diabetes-drugs-3ah4o795qr","2020","Journal Article","","Miles Fisher","10.15277/BJD.2020.267","https://scispace.com/pdf/series-cardiovascular-outcome-trials-for-diabetes-drugs-3ah4o795qr.pdf","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide's impact on cardiovascular outcomes in the LEADER trial, showing reduced major events and mortality; does not cover the SCALE trial.","LEADER (Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results) was an FDA-mandated cardiovascular outcome trial with liraglutide and was the first trial with a glucagon-like peptide-1 (GLP-1) receptor agonist to demonstrate a significant reduction in cardiovascular events. It compared liraglutide and placebo in 9,340 people with type 2 diabetes and either existing cardiovascular disease or age >60 years with at least one cardiovascular risk factor. LEADER demonstrated superiority for major cardiovascular events (cardiovascular death, non-fatal myocardial infarction, non-fatal stroke), and cardiovascular deaths were significantly reduced, as was all-cause mortality. Hospitalisation for heart failure, which was a secondary outcome, was not significantly reduced. Compared with the EMPA-REG OUTCOME trial, the curves for major adverse cardiovascular events in LEADER separated later, and the absence of a clear effect on hospitalisation for heart failure or on estimated glomerular filtration rate suggests that the mechanism of cardiovascular benefit for liraglutide was different from that for empagliflozin","No weight loss data reported.","LEADER demonstrated superiority for major adverse cardiovascular events (MACE), with a significant reduction. Cardiovascular deaths were significantly reduced, as was all-cause mortality. There were no significant differences in myocardial infarction, stroke, or hospitalisation for heart failure. The incidence ratio for MACE associated with liraglutide was 0.73 (95% CI 0.38 to 1.41) versus all comparator drugs pre-licensing.","Liraglutide increased gastrointestinal events. There were significantly fewer episodes of severe and confirmed hypoglycaemia in the liraglutide group. Acute gall bladder or biliary disease significantly increased (141 events vs 88 events). Acute pancreatitis occurred in 18 patients in the liraglutide group and 23 in the placebo group. No other notable adverse events were mentioned."
"Evaluating potential predictors of weight loss response to liraglutide in adolescents with obesity: A post hoc analysis of the randomized, placebo-controlled SCALE Teens trial.","https://scispace.com/paper/37264767","2023","Journal Article","Pediatric obesity","Bensignor
Bramante
Bomberg
Fox
Hale
Kelly
Mamadi
Prabhu
Harder-Lauridsen
Gross","10.1111/ijpo.13061","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10926323/pdf","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Evaluates liraglutide predictors of weight loss in adolescents, using data from the SCALE Teens randomized trial; does not mention LEADER trial.","As childhood obesity prevalence increases, determining which patients respond to anti-obesity medications would strengthen personalized approaches to obesity treatment. In the SCALE Teens trial among pubertal adolescents with obesity (NCT02918279), liraglutide 3.0 mg (or maximum tolerated dose) significantly reduced body mass index (BMI) standard deviation score on average versus placebo. That said, liraglutide effects on BMI reduction varied greatly among adolescents, similar to adults.","The abstract states that liraglutide 3.0 mg (or maximum tolerated dose) significantly reduced body mass index (BMI) standard deviation score on average versus placebo in pubertal adolescents with obesity from the SCALE Teens trial. However, specific numerical data for mean/median percent weight loss, duration of treatment, or proportions of patients achieving ≥5%, ≥10%, ≥15% weight loss are not reported in the provided metadata.","No cardiovascular outcomes data reported. The paper focuses on evaluating potential predictors of weight loss response to liraglutide in adolescents with obesity, specifically using data from the SCALE Teens trial. It does not mention MACE, cardiovascular death, myocardial infarction, stroke, or heart failure outcomes.","Not available in metadata."
"Liraglutide and cardiovascular outcomes in adults with overweight or obesity: A post hoc analysis from SCALE randomized controlled trials","https://scispace.com/paper/liraglutide-and-cardiovascular-outcomes-in-adults-with-4629yvlwqv","2018","Journal Article","Diabetes, Obesity and Metabolism","Melanie J. Davies
Louis J. Aronne
Ian D. Caterson
Anne B. Thomsen
P. B. Jacobsen
Steven P. Marso","10.1111/DOM.13125","https://onlinelibrary.wiley.com/doi/pdf/10.1111/dom.13125","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Evaluates liraglutide’s cardiovascular safety using post‑hoc analysis of 5 SCALE trials, reporting hazard ratio for CV events; does not mention LEADER trial.","The cardiovascular safety of liraglutide, a glucagon-like peptide-1 receptor agonist approved for weight management at a dose of 3.0 mg, was evaluated post hoc using data from 5908 participants in 5 randomized, double-blind, placebo-controlled clinical trials. Participants were randomized to liraglutide or a comparator group (placebo or orlistat). The objective was to evaluate whether cardiovascular risk was increased with liraglutide treatment. The primary composite outcome of this time-to-event analysis was the first occurrence of cardiovascular death, nonfatal myocardial infarction or nonfatal stroke. These cardiovascular events were adjudicated prospectively for three of the trials and retrospectively for two trials by an event adjudication committee. The primary outcome was analyzed using a Cox proportional hazards model, stratified by trial. With liraglutide 3.0 mg, 8 participants had positively adjudicated cardiovascular events (1.54 events/1000 person-years) compared to 10 participants in the comparators group (3.65 events/1000 person-years). The hazard ratio for liraglutide 3.0 mg compared to comparators was 0.42 (95% confidence interval, 0.17-1.08). In this analysis, liraglutide 3.0 mg treatment was not associated with excess cardiovascular risk. However, the wide confidence intervals and retrospective adjudication of events in two of the trials are limitations of the analysis.","No weight loss data reported. The paper focuses on cardiovascular safety, stating ""liraglutide 3.0 mg treatment was not associated with excess cardiovascular risk."" It mentions the dose of 3.0 mg for weight management but does not provide specific weight reduction percentages or treatment duration.","The primary composite outcome (cardiovascular death, nonfatal myocardial infarction, or nonfatal stroke) occurred in 8 participants (1.54 events/1000 person-years) with liraglutide 3.0 mg, versus 10 participants (3.65 events/1000 person-years) in comparators. The hazard ratio was 0.42 (95% confidence interval, 0.17-1.08). Heart failure outcomes are not reported.","No adverse event data reported. The metadata focuses on cardiovascular outcomes, specifically stating: ""8 participants had positively adjudicated cardiovascular events (1.54 events/1000 person-years) compared to 10 participants in the comparators group (3.65 events/1000 person-years)."" It notes wide confidence intervals and retrospective adjudication as limitations."
"Obesity in the Asia-Pacific Region: Current Perspectives","https://scispace.com/paper/obesity-in-the-asia-pacific-region-current-perspectives-1qxg2u5kpg","2024","Journal Article","Journal of Asian Pacific Society of Cardiology","David Tak Wai Lui
Junya Ako
Jamshed Dalal
Alan Yean Yip Fong
Masashi Fujino
Ari Horton
Rungroj Krittayaphong
Wael Almahmeed
Anne Thushara Matthias
Adam Nelson
Stephen J. Nicholls
Richard C. O’Brien
KK Poh
Khalida Soomro
Khung Keong Yeo
Kathryn Choon Beng Tan","10.15420/japsc.2023.68","https://scispace.compdf/obesity-in-the-asia-pacific-region-current-perspectives-1qxg2u5kpg.pdf","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide's weight loss effects and cardiovascular benefits, citing the SCALE trial results; no mention of the LEADER trial.","Obesity has become a pandemic in the Asia-Pacific region, with an alarming rate of increase in the prevalence of obesity. The impact of obesity and its associated comorbidities goes beyond the healthcare system, posing a substantial burden not only on the individual, but also on the society and the economy. In this review, we focus on the latest situation in the Asia-Pacific region, and review the diagnostic criteria of obesity, management strategies and access to treatment in the region. National guidelines on obesity management are available in some countries, reflecting the recognition of the problem of obesity by healthcare professionals and government bodies. Although a range of anti-obesity pharmacotherapies and bariatric surgeries are available, access remains restricted and reimbursement criteria vary in different parts of the Asia-Pacific. Prevention is key, as treatment alone cannot reverse the tide of obesity, and a sustained partnership between the patient and the clinician is necessary to manage the chronic disease of obesity. ","","",""
"… of liraglutide on visceral and ectopic fat in adults with overweight and obesity at high cardiovascular risk: a randomised, double-blind, placebo-controlled, clinical trial","https://scispace.com/paper/WZ2G5LnUmb4J","","","","IJ Neeland
SP Marso
CR Ayers
B Lewis","","https://phdres.caregate.net/jclub-articles/Hsu.082421.pdf","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Shows liraglutide’s effects on visceral fat and cites cardiovascular benefit from the LEADER trial, discussing weight loss and outcomes.","","","",""
"Cardiovascular outcomes in patients who experienced a myocardial infarction while treated with liraglutide versus placebo in the LEADER trial","https://scispace.com/paper/cardiovascular-outcomes-in-patients-who-experienced-a-1wldytd3fw","2018","Journal Article","Diabetes and Vascular Disease Research","Michael A. Nauck
Karen Tornøe
Søren Rasmussen
Marianne Bach Treppendahl
Steven P. Marso","10.1177/1479164118783935","https://journals.sagepub.com/doi/pdf/10.1177/1479164118783935","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Analyzes cardiovascular outcomes of myocardial infarction patients on liraglutide vs placebo in LEADER trial; does not address SCALE trial.","Objective:Animal studies demonstrated that glucagon-like peptide-1 receptor agonists reduce myocardial necrosis following regional ischaemia induction. This effect may improve cardiovascular outcom...","","",""
"Series: Cardiovascular outcome trials for diabetes drugs. Cardiovascular outcome trials with GLP-1 receptor agonists from exenatide and EXSCEL","https://scispace.com/paper/series-cardiovascular-outcome-trials-for-diabetes-drugs-1umd9l6o","","","","Miles Fisher","","","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide’s cardiovascular outcomes in the LEADER trial; does not mention the SCALE trial.","LEADER was a landmark cardiovascular outcome trial with the GLP-1 receptor agonist liraglutide, which demonstrated signiﬁcant reductions in major adverse cardiovascular events (MACE, a composite of cardiovascular death, non-fatal myocardial infarction and non-fatal stroke), driven by a reduction in cardiovascular deaths and accompanied by a signiﬁcant reduction in all-cause mortality. Shortly after-wards, the SUSTAIN-6 trial with once-weekly semaglutide demonstrated non-inferiority for MACE, with a nominal reduction in MACE that was driven by a reduction in the risk of non-fatal strokes. Since then, a further six cardiovascular trials have been published with GLP-1 receptor agonists, with major differences in study design and outcomes. Four trials have been performed with once-weekly formu-lations. The EXSCEL trial with once-weekly exenatide showed non-inferiority for MACE, but not superiority, with a reduction in all-cause mortality which was an exploratory outcome. The Harmony Outcomes trial with albiglutide demonstrated signiﬁcant reductions in MACE, driven by reductions in fatal or non-fatal myocardial infarction. REWIND, with dulaglutide, also demonstrated signiﬁcant reductions in MACE, this time driven by reductions in strokes. The AMPLITUDE-O trial with efpeglenatide showed signiﬁcant reductions in MACE, but none of the individual components of MACE was signiﬁcantly reduced as a secondary endpoint, and in contrast to other trials there was also a signiﬁcant reduction in heart failure events. The ﬁfth trial was the PIONEER 6 trial with the oral formulation of semaglutide, and this showed non-inferiority for MACE, but not superiority, with reductions in cardiovascular deaths and all-cause mortality which were secondary outcomes. Finally, FREEDOM-CVO with a subcutaneous mini-pump of exenatide showed non-inferiority for MACE and MACE plus hospitalisation for unstable angina. A reduction in albuminuria was seen in several of these trials, but there was no deﬁnite effect on eGFR or end-stage renal disease. Meta-analysis of the cardiovascular outcome trials with GLP-1 receptor agonists has demonstrated signiﬁcant reductions in MACE, cardiovascular death, fatal or non-fatal stroke, fatal or non-fatal myocardial infarction, and all-cause mortality. It remains unclear why updated guidance from NICE on the management of T2DM in adults fails to acknowledge these evidence-based cardiovascular beneﬁts. Br J Diabetes 2022; 22 :105-111","","",""
"Weight maintenance and additional weight loss with liraglutide after low-calorie-diet-induced weight loss: the SCALE Maintenance randomized study","https://scispace.com/paper/weight-maintenance-and-additional-weight-loss-with-4jrdpnenpk","2013","Journal Article","International Journal of Obesity","Thomas A. Wadden
Priscilla Hollander
S Klein
Kevin D. Niswender
V Woo
P M Hale
Louis J. Aronne","10.1038/IJO.2013.120","","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses liraglutide to maintain and further reduce weight after low‑calorie diet, reporting results from the SCALE Maintenance randomized trial.","Weight maintenance and additional weight loss with liraglutide after low-calorie-diet-induced weight loss: The SCALE Maintenance randomized study","","",""
"Effect of liraglutide 3.0 mg in individuals with obesity and moderate or severe obstructive sleep apnea: the SCALE Sleep Apnea randomized clinical trial","https://scispace.com/paper/effect-of-liraglutide-3-0-mg-in-individuals-with-obesity-and-56y9roh1x2","2016","Journal Article","International Journal of Obesity","A. Blackman
Gary D. Foster
G Zammit
R Rosenberg
Louis J. Aronne
Thomas A. Wadden
B. Claudius
Christine B. Jensen
Emmanuel Mignot","10.1038/IJO.2016.52","https://www.nature.com/articles/ijo201652.pdf","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Evaluates liraglutide‑induced weight loss in obese patients with sleep apnea via the SCALE Sleep Apnea randomized trial; does not address LEADER trial.","Effect of liraglutide 3.0 mg in individuals with obesity and moderate or severe obstructive sleep apnea: the SCALE Sleep Apnea randomized clinical trial","","",""
"Effects of Liraglutide on Cardiovascular Outcomes in Type 2 Diabetes Patients With and Without Baseline Metformin Use: Post Hoc Analyses of the LEADER Trial.","https://scispace.com/paper/effects-of-liraglutide-on-cardiovascular-outcomes-in-type-2-3wyqkygb99","2020","Journal Article","Diabetes Care","Matthew J Crowley
Matthew J Crowley
Darren K. McGuire
Anastasia-Stefania Alexopoulos
Anastasia-Stefania Alexopoulos
Thomas Jensen
Søren Rasmussen
Hans A. Saevereid
Subodh Verma
John B. Buse","10.2337/DC20-0437","https://scispace.com/pdf/effects-of-liraglutide-on-cardiovascular-outcomes-in-type-2-3wyqkygb99.pdf","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Analyzes liraglutide’s cardiovascular outcomes using LEADER trial data, comparing patients with and without baseline metformin.","Glucagon-like peptide 1 receptor agonists (GLP-1RAs) reduce cardiovascular (CV) events among patients with type 2 diabetes and high CV risk. Because consensus professional society recommendations endorse metformin as the first-line medication for type 2 diabetes, the CV efficacy of GLP-1RAs has primarily been studied with background metformin therapy (1). However, the European Society of Cardiology now recommends GLP-1RAs as a first-line type 2 diabetes treatment for patients at high CV risk (2). These discordant recommendations raise the question of how background metformin might influence the CV benefits of GLP-1RAs. Using data from the LEADER trial, we sought to answer this question by exploring possible heterogeneity in the CV efficacy of liraglutide related to baseline metformin treatment (3).

The Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results (LEADER) trial (NCT01179048, ClinicalTrials.gov) has been described elsewhere (3). Patients with type 2 diabetes and high CV risk underwent double-blind randomization to daily liraglutide versus placebo in addition to existing care.

Each patient contributed data from randomization until censoring. The primary outcome was time from randomization to first occurrence of a composite of CV death, myocardial infarction, or stroke. Prespecified secondary outcomes included an expanded composite (primary plus coronary revascularization or hospitalization for unstable angina or heart failure), the composite components, and all-cause death. All outcomes were centrally adjudicated.

Metformin treatment was identified at the baseline trial visit and each visit thereafter. Within each baseline metformin treatment subgroup, effect estimates for liraglutide versus placebo (hazard ratio [HR], 95% CI) were derived using Cox proportional hazards regression models; multivariable adjustment for baseline demographic and clinical factors was performed. Inverse probability for treatment weighting (IPTW) was used to account for imbalances in covariates between baseline metformin treatment subgroups (4). For multivariable analyses with IPTW, heterogeneity in the association between baseline metformin …","","",""
"Series: Cardiovascular outcome trials for diabetes drugs.","https://scispace.com/paper/series-cardiovascular-outcome-trials-for-diabetes-drugs-1a1i7rmx","2022","Journal Article","The British journal of diabetes","Miles Fisher","10.15277/bjd.2022.387","","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide's cardiovascular benefits in the LEADER trial, showing reduced MACE and mortality.","LEADER was a landmark cardiovascular outcome trial with the GLP-1 receptor agonist liraglutide, which demonstrated signiﬁcant reductions in major adverse cardiovascular events (MACE, a composite of cardiovascular death, non-fatal myocardial infarction and non-fatal stroke), driven by a reduction in cardiovascular deaths and accompanied by a signiﬁcant reduction in all-cause mortality. Shortly afterwards, the SUSTAIN-6 trial with once-weekly semaglutide demonstrated non-inferiority for MACE, with a nominal reduction in MACE that was driven by a reduction in the risk of non-fatal strokes. Since then, a further six cardiovascular trials have been published with GLP-1 receptor agonists, with major differences in study design and outcomes.
Four trials have been performed with once-weekly formulations. The EXSCEL trial with once-weekly exenatide showed non-inferiority for MACE, but not superiority, with a reduction in all-cause mortality which was an exploratory outcome. The Harmony Outcomes trial with albiglutide demonstrated signiﬁcant reductions in MACE, driven by reductions in fatal or non-fatal myocardial infarction. REWIND, with dulaglutide, also demonstrated signiﬁcant reductions in MACE, this time driven by reductions in strokes. The AMPLITUDE-O trial with efpeglenatide showed signiﬁcant reductions in MACE, but none of the individual components of MACE was signiﬁcantly reduced as a secondary endpoint, and in contrast to other trials there was also a signiﬁcant reduction in heart failure events. The ﬁfth trial was the PIONEER 6 trial with the oral formulation of semaglutide, and this showed non-inferiority for MACE, but not superiority, with reductions in cardiovascular deaths and all-cause mortality which were secondary outcomes. Finally, FREEDOM-CVO with a subcutaneous mini-pump of exenatide showed non-inferiority for MACE and MACE plus hospitalisation for unstable angina. A reduction in albuminuria was seen in several of these trials, but there was no deﬁnite effect on eGFR or end-stage renal disease.
Meta-analysis of the cardiovascular outcome trials with GLP-1 receptor agonists has demonstrated signiﬁcant reductions in MACE, cardiovascular death, fatal or non-fatal stroke, fatal or non-fatal myocardial infarction, and all-cause mortality. It remains unclear why updated guidance from NICE on the management of T2DM in adults fails to acknowledge these evidence-based cardiovascular beneﬁts.","","",""
"3 years of liraglutide versus placebo for type 2 diabetes risk reduction and weight management in individuals with prediabetes: a randomised, double-blind trial.","https://scispace.com/paper/28237263","2017","Journal Article","Lancet (London, England)","le Roux
Astrup
Fujioka
Greenway
Lau
Van Gaal
Ortiz
Wilding
Skjøth
Manning
Pi-Sunyer","10.1016/S0140-6736(17)30069-7","","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Evaluates liraglutide's weight loss and diabetes risk reduction over 3 years in the SCALE Obesity and Prediabetes trial, but does not mention the LEADER trial.","Liraglutide 3·0 mg was shown to reduce bodyweight and improve glucose metabolism after the 56-week period of this trial, one of four trials in the SCALE programme. In the 3-year assessment of the SCALE Obesity and Prediabetes trial we aimed to evaluate the proportion of individuals with prediabetes who were diagnosed with type 2 diabetes.","","",""
"Studie LEADER (Liraglutide Effect and Action in Diabetes: Evaluation of cardiovascular outcome Results)","https://scispace.com/paper/studie-leader-liraglutide-effect-and-action-in-diabetes-41mniah7ok","2018","","","Lenka Špinarová
Jindřich Špinar","","","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Evaluates liraglutide in the LEADER cardiovascular outcomes trial, showing reduced CV death and mortality; does not mention the SCALE trial.","Studie LEADER se zabývala kardiovaskularni (KV) bezpecnosti při podavani liraglutidu oproti placebu u pacientů s diabetem mellitem a KV onemocněnim. Minimalni doba sledovani byla 3,5 let, maximalni 5 let. Primarni cil byl složený: kardiovaskularni umrti, nefatalni infarkt myokardu nebo nefatalni cevni mozkova přihoda. Sekundarni cil byl rozsiřený primarni cil o koronarni revaskularizaci, nestabilni angina pectoris vyžadujici hospitalizaci nebo hospitalizace pro srdecni selhani. Celkem bylo zařazeno do lecene větve 4 668 a do placebove větvě 4 672 pacientů. Primarni kombinovaný cil vysel ve prospěch pacientů lecených liraglutidem: doslo k poklesu rizika kardiovaskularniho umrti, nefatalniho srdecniho infarktu ci nefatalni cevni mozkove přihody o 13 % (p<0,001 pro non-inferioritu, p<0,01 pro superioritu). Při rozděleni tohoto cile na jednotlive složky byl pokles předevsim rizika kardiovaskularniho umrti o 22 % (p<0,007). Ze sekundarnich cilů bylo velmi pozitivni sniženi rizika celkove mortality o 15 % (p<0,02). Podstatným výsledkem je rovněž skutecnost, že nebyl rozdil v hospitalizacich pro srdecni selhani (p<0,14). Studie si rovněž vsimala mikrovaskularnich komplikaci, ktere byly rozděleny na renalni a ocni. Celkový výskyt mikrovaskularnich komplikaci byl 7,6 % u pacientů lecených liraglutidem oproti 8,9 % v placebove skupině (p<0,02). Tento celkový pokles byl na vrub renalnich komplikaci (p<0,003), zatimco ocni komplikace nevysly statisticky významně (p<0,33). Při hodnoceni bezpecnosti liraglutidu byl celkový výskyt nežadoucich ucinků stejný jako při uživani placeba. Nebyl zvýsený výskyt nadorů (benignich ci malignich) ci pankreatitidy. Liraglutid tak prokazal mimo ucinnosti v lecbě diabetu mellitu take přiznive ovlivněni kardiovaskularnich parametrů, vcetně celkove mortality a jevi se tak nadějným modernim lekem v lecbě diabetiků s kardialnim ci renalnim rizikem.","","",""
